iter	Passed	Remaining
0	4	4604
1	9	4781
2	16	5373
3	20	5220
4	25	5144
5	33	5613
6	38	5466
7	44	5502
8	51	5633
9	56	5582
10	63	5726
11	67	5592
12	72	5494
13	78	5543
14	83	5477
15	87	5359
16	91	5298
17	96	5257
18	100	5185
19	104	5129
20	109	5082
21	113	5044
22	117	4976
23	121	4923
24	125	4882
25	129	4855
26	133	4819
27	138	4797
28	142	4781
29	146	4739
30	150	4711
31	155	4691
32	159	4684
33	163	4655
34	168	4637
35	172	4619
36	177	4624
37	181	4598
38	185	4571
39	189	4556
40	194	4550
41	198	4534
42	202	4505
43	208	4531
44	214	4555
45	219	4549
46	223	4539
47	228	4533
48	233	4530
49	239	4544
50	244	4542
51	249	4551
52	257	4597
53	262	4600
54	267	4600
55	272	4587
56	276	4577
57	280	4562
58	285	4546
59	289	4536
60	294	4534
61	298	4517
62	302	4502
63	309	4533
64	315	4533
65	320	4530
66	327	4554
67	332	4557
68	338	4568
69	344	4574
70	350	4587
71	356	4598
72	361	4590
73	366	4585
74	370	4573
75	375	4564
76	379	4553
77	383	4538
78	389	4537
79	393	4521
80	397	4511
81	401	4495
82	407	4498
83	411	4487
84	415	4470
85	419	4462
86	425	4461
87	428	4438
88	431	4420
89	436	4409
90	440	4404
91	445	4392
92	449	4385
93	454	4380
94	458	4371
95	463	4368
96	468	4361
97	473	4362
98	478	4356
99	484	4358
100	489	4357
101	495	4358
102	499	4353
103	504	4348
104	509	4346
105	515	4348
106	520	4346
107	525	4338
108	529	4327
109	534	4326
110	539	4324
111	544	4320
112	549	4309
113	553	4304
114	557	4290
115	561	4280
116	565	4269
117	569	4257
118	573	4244
119	577	4233
120	581	4223
121	585	4217
122	590	4208
123	594	4197
124	597	4185
125	602	4180
126	606	4168
127	610	4158
128	613	4145
129	618	4137
130	621	4124
131	625	4113
132	629	4102
133	633	4094
134	637	4082
135	640	4071
136	644	4061
137	648	4050
138	652	4039
139	655	4028
140	660	4022
141	664	4012
142	667	4001
143	671	3990
144	674	3979
145	678	3970
146	682	3962
147	686	3951
148	690	3941
149	693	3931
150	698	3924
151	701	3911
152	704	3900
153	708	3892
154	712	3882
155	716	3875
156	720	3866
157	723	3857
158	727	3848
159	731	3842
160	735	3833
161	739	3827
162	743	3817
163	747	3809
164	751	3800
165	755	3797
166	762	3803
167	767	3802
168	773	3801
169	777	3796
170	782	3793
171	787	3790
172	792	3786
173	797	3787
174	802	3783
175	806	3777
176	810	3770
177	815	3766
178	819	3760
179	823	3752
180	827	3744
181	838	3770
182	842	3761
183	846	3756
